----- step=1420000: nr=1193 (935), hr=20 (8), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9917 (2164)  (tn=80640, r=4674)
----- step=1430000: nr=1236 (936), hr=19 (8), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9872 (2127)  (tn=80640, r=4709)
----- step=1440000: nr=1165 (855), hr=24 (9), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10027 (1984)  (tn=80640, r=4824)
----- step=1450000: nr=1124 (861), hr=16 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10069 (2018)  (tn=80640, r=4578)
----- step=1460000: nr=1166 (914), hr=14 (9), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9995 (2089)  (tn=80640, r=5087)
----- step=1470000: nr=1166 (911), hr=6 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9993 (2082)  (tn=80640, r=5405)
----- step=1480000: nr=1112 (858), hr=12 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10054 (1970)  (tn=80640, r=5360)
----- step=1490000: nr=1135 (880), hr=11 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9885 (2032)  (tn=80640, r=5263)
----- step=1500000: nr=1148 (929), hr=18 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9919 (2094)  (tn=80640, r=5190)
程序运行时间：6153.389 s, SD:40

----- step=0: nr=0 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=0 (0)  (tn=80000, r=80000)
----- step=10000: nr=20 (0), hr=0 (0), hr_nr=0 (0), ctr1=20 (0), ctr2=20 (0), ctr3=20 (0), unit=4748 (0)  (tn=80640, r=75074)
----- step=20000: nr=62 (0), hr=0 (0), hr_nr=0 (0), ctr1=1 (0), ctr2=2 (0), ctr3=1 (0), unit=7096 (0)  (tn=80640, r=62436)
----- step=30000: nr=210 (0), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9718 (0)  (tn=80640, r=43283)
----- step=40000: nr=380 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10694 (0)  (tn=80640, r=30335)
----- step=60000: nr=569 (36), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10733 (74)  (tn=80640, r=17876)
