step=1370000: nr=1195 (986), hr=19 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9575 (2215)  (tn=80640, r=5244)
step=1380000: nr=1192 (1000), hr=20 (10), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9514 (2231)  (tn=80640, r=5242)
step=1390000: nr=1206 (1023), hr=17 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9518 (2273)  (tn=80640, r=5130)
step=1400000: nr=1106 (900), hr=15 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9590 (2075)  (tn=80640, r=4971)
step=1410000: nr=1079 (875), hr=16 (7), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9663 (2023)  (tn=80640, r=5209)
step=1420000: nr=1128 (903), hr=19 (8), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9559 (2042)  (tn=80640, r=5130)
step=1430000: nr=1153 (882), hr=14 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9525 (1983)  (tn=80640, r=4893)
step=1440000: nr=1168 (881), hr=12 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9630 (1955)  (tn=80640, r=4535)
step=1450000: nr=1163 (897), hr=15 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9658 (2044)  (tn=80640, r=4548)
step=1460000: nr=1172 (939), hr=12 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9440 (2148)  (tn=80640, r=4782)
step=1470000: nr=1129 (896), hr=14 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9696 (1975)  (tn=80640, r=5033)
step=1480000: nr=1145 (893), hr=14 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9586 (2092)  (tn=80640, r=4830)
step=1490000: nr=1134 (878), hr=13 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9619 (2044)  (tn=80640, r=4858)
step=1500000: nr=1196 (914), hr=20 (10), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9649 (2092)  (tn=80640, r=4979)
execution time:2531, seed:40

step=0: nr=0 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=0 (0)  (tn=80000, r=80000)
step=10000: nr=20 (0), hr=0 (0), hr_nr=0 (0), ctr1=20 (0), ctr2=20 (0), ctr3=20 (0), unit=4637 (0)  (tn=80640, r=75180)
step=20000: nr=18 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=1 (0), ctr3=0 (0), unit=6792 (0)  (tn=80640, r=65244)
step=30000: nr=121 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9727 (0)  (tn=80640, r=47415)
step=40000: nr=246 (0), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11318 (0)  (tn=80640, r=34827)
step=50000: nr=261 (0), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11791 (0)  (tn=80640, r=28603)
step=60000: nr=309 (0), hr=4 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11568 (0)  (tn=80640, r=25394)
step=70000: nr=282 (0), hr=3 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11568 (0)  (tn=80640, r=22672)
step=80000: nr=329 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11442 (0)  (tn=80640, r=21204)
